"Rank","Name","Tm","Vote Pts","1st Place","Share","WAR","G","AB","R","H","HR","RBI","SB","BB","BA","OBP","SLG","OPS","W","L","ERA","WHIP","G.P","GS","SV","IP","H.P","HR.P","BB.P","SO","year","league","rankWAR"
10,"Bobby Avila","CLE",49,0,"15%",4.8,141,542,76,165,10,58,14,60,0.304,0.374,0.41,0.783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",7
11,"Phil Rizzuto","NYY",47,1,"14%",3.6,144,540,87,148,2,43,18,58,0.274,0.35,0.346,0.696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",19
12,"Eddie Lopat","NYY",44,1,"13%",3.8,31,84,7,15,3,9,0,7,0.179,0.242,0.298,0.539,21,9,2.91,1.193,31,31,0,234.2,209,12,71,93,1951,"AL",18
13,"Ted Williams","BOS",35,0,"10%",7.2,148,531,109,169,30,126,1,144,0.318,0.464,0.556,1.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",1
14,"Eddie Joost","PHA",32,0,"10%",6,140,553,107,160,19,78,10,106,0.289,0.409,0.461,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",3
15,"George Kell","DET",30,0,"9%",4,147,598,92,191,2,59,10,61,0.319,0.386,0.4,0.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",15
16,"Early Wynn","CLE",29,0,"9%",5.7,41,108,8,20,1,13,0,7,0.185,0.235,0.306,0.54,20,13,3.02,1.217,37,34,1,274.1,227,18,107,133,1951,"AL",4
17,"Nellie Fox","CHW",25,0,"7%",4.8,147,604,93,189,4,55,9,43,0.313,0.372,0.425,0.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",7
18,"Billy Goodman","BOS",21,0,"6%",2,141,546,92,162,0,50,7,79,0.297,0.388,0.374,0.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",29
19,"Dom DiMaggio","BOS",16,0,"5%",1.7,146,639,113,189,12,72,4,73,0.296,0.37,0.418,0.788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",30
20,"Gus Zernial","TOT",15,0,"4%",3,143,571,92,153,33,129,2,63,0.268,0.345,0.511,0.856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",24
21,"Bobby Shantz","PHA",14,0,"4%",3.1,36,72,11,18,0,9,1,6,0.25,0.308,0.306,0.613,18,10,3.94,1.378,32,25,0,205.1,213,15,70,77,1951,"AL",22
22,"Mike Garcia","CLE",11,0,"3%",4.2,47,85,3,18,1,9,0,3,0.212,0.239,0.318,0.556,20,13,3.15,1.264,47,30,6,254,239,10,82,118,1951,"AL",14
23,"Gil Coan","WSH",8,0,"2%",3.1,135,538,85,163,9,62,8,39,0.303,0.357,0.426,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",22
24,"Mel Parnell","BOS",7,0,"2%",5.2,37,81,12,25,0,5,0,7,0.309,0.364,0.346,0.709,18,11,3.26,1.385,36,29,2,221,229,11,77,77,1951,"AL",6
24,"Eddie Robinson","CHW",7,0,"2%",3.2,151,564,85,159,29,117,2,77,0.282,0.371,0.495,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",21
26,"Johnny Pesky","BOS",5,0,"1%",4.3,131,480,93,150,3,41,2,84,0.313,0.417,0.398,0.815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",13
26,"Gene Woodling","NYY",5,0,"1%",3.4,120,420,65,118,15,71,0,62,0.281,0.373,0.462,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",20
28,"Dale Mitchell","CLE",4,0,"1%",3,134,510,83,148,11,62,7,53,0.29,0.358,0.424,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",24
28,"Irv Noren","WSH",4,0,"1%",2.6,129,509,82,142,8,86,10,51,0.279,0.345,0.411,0.755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",27
30,"Jim Busby","CHW",2,0,"1%",1.4,143,477,59,135,5,68,26,40,0.283,0.344,0.354,0.698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",31
30,"Johnny Mize","NYY",2,0,"1%",0.9,113,332,37,86,10,49,1,36,0.259,0.339,0.398,0.736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",33
30,"Virgil Trucks","DET",2,0,"1%",1.3,37,55,5,13,0,14,0,0,0.236,0.236,0.291,0.527,13,8,4.33,1.484,37,18,0,153.2,153,9,75,89,1951,"AL",32
30,"Eddie Yost","WSH",2,0,"1%",4,154,568,109,161,12,65,6,126,0.283,0.423,0.424,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1951,"AL",15
1,"Bobby Shantz","PHA",280,16,"83%",9.6,34,96,13,19,0,12,0,5,0.198,0.252,0.26,0.513,24,7,2.48,1.048,33,33,0,279.2,230,21,63,152,1952,"AL",1
2,"Allie Reynolds","NYY",183,4,"54%",4.7,41,85,6,13,0,7,0,5,0.153,0.2,0.176,0.376,20,8,2.06,1.191,35,29,6,244.1,194,10,97,160,1952,"AL",12
3,"Mickey Mantle","NYY",143,3,"43%",6.5,142,549,94,171,23,87,4,75,0.311,0.394,0.53,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",4
4,"Yogi Berra","NYY",104,0,"31%",5.6,142,534,97,146,30,98,2,66,0.273,0.358,0.478,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",7
5,"Early Wynn","CLE",99,0,"29%",4.3,44,99,5,22,0,10,0,9,0.222,0.287,0.242,0.529,23,12,2.9,1.299,42,33,3,285.2,239,23,132,153,1952,"AL",14
6,"Ferris Fain","PHA",66,0,"20%",4.8,145,538,82,176,2,59,3,105,0.327,0.438,0.429,0.867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",11
7,"Nellie Fox","CHW",59,1,"18%",3.1,152,648,76,192,0,39,5,34,0.296,0.334,0.366,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",24
8,"Bob Lemon","CLE",58,0,"17%",5.8,54,124,14,28,2,9,0,4,0.226,0.25,0.315,0.565,22,11,2.5,1.101,42,36,4,309.2,236,15,105,131,1952,"AL",6
9,"Mike Garcia","CLE",52,0,"15%",5.2,46,95,6,13,0,10,0,5,0.137,0.18,0.168,0.348,22,11,2.37,1.269,46,36,4,292.1,284,9,87,143,1952,"AL",10
10,"Al Rosen","CLE",51,0,"15%",6,148,567,101,171,28,105,8,75,0.302,0.387,0.524,0.911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",5
11,"Eddie Robinson","CHW",47,0,"14%",3.9,155,594,79,176,22,104,2,70,0.296,0.382,0.466,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",18
12,"Larry Doby","CLE",46,0,"14%",7.1,140,519,104,143,32,104,5,90,0.276,0.383,0.541,0.924,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",3
13,"Luke Easter","CLE",40,0,"12%",3.5,127,437,63,115,31,97,1,44,0.263,0.337,0.513,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",21
14,"Phil Rizzuto","NYY",33,0,"10%",5.3,152,578,89,147,2,43,17,67,0.254,0.337,0.341,0.678,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",8
15,"Eddie Joost","PHA",20,0,"6%",4,146,540,94,132,20,75,5,122,0.244,0.388,0.415,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",16
16,"Billy Goodman","BOS",18,0,"5%",3.9,138,513,79,157,4,56,8,48,0.306,0.37,0.394,0.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",18
17,"Jackie Jensen","TOT",12,0,"4%",3,151,589,83,165,10,82,18,67,0.28,0.357,0.402,0.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",26
17,"Satchel Paige","SLB",12,0,"4%",3.2,46,39,0,5,0,2,0,1,0.128,0.15,0.128,0.278,12,10,3.07,1.254,46,6,10,138,116,5,57,91,1952,"AL",23
17,"Vic Raschi","NYY",12,0,"4%",2.8,31,69,4,13,0,2,0,8,0.188,0.273,0.217,0.49,16,6,2.78,1.188,31,31,0,223,174,12,91,127,1952,"AL",27
20,"Dale Mitchell","CLE",11,0,"3%",3.9,134,511,61,165,5,58,6,52,0.323,0.387,0.415,0.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",18
21,"Hank Bauer","NYY",10,0,"3%",4.2,141,553,86,162,17,74,6,50,0.293,0.355,0.463,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",15
21,"Gene Woodling","NYY",10,0,"3%",4,122,408,58,126,12,63,1,59,0.309,0.397,0.473,0.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",16
23,"Pete Runnels","WSH",8,0,"2%",2,152,555,70,158,1,64,0,72,0.285,0.368,0.333,0.701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",29
24,"Clint Courtney","SLB",7,0,"2%",2,119,413,38,118,5,50,0,39,0.286,0.349,0.395,0.743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",29
25,"Dick Gernert","BOS",6,0,"2%",0.9,102,367,58,89,19,67,4,35,0.243,0.317,0.463,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",33
26,"Walt Dropo","TOT",5,0,"1%",1.4,152,591,69,163,29,97,2,37,0.276,0.323,0.477,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",31
27,"Saul Rogovin","CHW",4,0,"1%",2.1,33,84,6,17,1,7,1,4,0.202,0.247,0.274,0.521,14,9,3.85,1.308,33,30,1,231.2,224,14,79,121,1952,"AL",28
27,"Sammy White","BOS",4,0,"1%",1.1,115,381,35,107,10,49,2,16,0.281,0.31,0.423,0.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",32
29,"Bobby Avila","CLE",3,0,"1%",4.7,150,597,102,179,7,45,12,67,0.3,0.371,0.415,0.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",12
29,"Billy Pierce","CHW",3,0,"1%",7.2,35,91,11,17,0,3,0,6,0.187,0.237,0.198,0.435,15,12,2.57,1.148,33,32,1,255.1,214,12,79,144,1952,"AL",2
29,"Johnny Sain","NYY",3,0,"1%",0.3,47,71,4,19,1,14,0,3,0.268,0.297,0.394,0.692,11,6,3.46,1.261,35,16,7,148.1,149,15,38,57,1952,"AL",35
29,"Bobby Young","SLB",3,0,"1%",0.8,149,575,59,142,4,39,3,56,0.247,0.314,0.325,0.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",34
33,"Joe Collins","NYY",2,0,"1%",3.5,122,428,69,120,18,59,4,55,0.28,0.364,0.481,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1952,"AL",21
34,"Connie Marrero","WSH",1,0,"0%",3.1,22,63,0,5,0,3,0,2,0.079,0.108,0.079,0.187,11,8,2.88,1.237,22,22,0,184.1,175,9,53,77,1952,"AL",24
34,"Bob Porterfield","WSH",1,0,"0%",5.3,31,79,5,15,0,3,0,2,0.19,0.21,0.228,0.438,13,14,2.72,1.327,31,29,0,231.1,222,7,85,80,1952,"AL",8
1,"Al Rosen","CLE",336,24,"100%",10.1,155,599,115,201,43,145,8,85,0.336,0.422,0.613,1.034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",1
2,"Yogi Berra","NYY",167,0,"50%",4.9,137,503,80,149,27,108,0,50,0.296,0.363,0.523,0.886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",10
3,"Mickey Vernon","WSH",162,0,"48%",5.4,152,608,101,205,15,115,4,63,0.337,0.403,0.518,0.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",5
4,"Minnie Minoso","CHW",100,0,"30%",3.8,151,556,104,174,15,104,25,74,0.313,0.41,0.466,0.875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",18
5,"Virgil Trucks","TOT",81,0,"24%",6.5,40,88,6,19,1,7,0,0,0.216,0.225,0.295,0.52,20,10,2.93,1.26,40,33,3,264.1,234,18,99,149,1953,"AL",2
6,"Phil Rizzuto","NYY",76,0,"23%",3.9,134,413,54,112,2,54,4,71,0.271,0.383,0.351,0.734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",17
7,"Bob Porterfield","WSH",64,0,"19%",5.2,37,98,8,25,3,16,1,6,0.255,0.298,0.418,0.716,22,10,3.35,1.239,34,32,0,255,243,19,73,77,1953,"AL",7
8,"Ray Boone","TOT",59,0,"18%",5.9,135,497,94,147,26,114,3,72,0.296,0.39,0.519,0.909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",3
9,"Jim Piersall","BOS",56,0,"17%",2.5,151,585,76,159,3,52,11,41,0.272,0.329,0.354,0.683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",22
10,"Billy Pierce","CHW",55,0,"16%",5.7,42,87,4,11,0,4,0,4,0.126,0.174,0.126,0.3,18,12,2.72,1.172,40,33,3,271.1,216,20,102,186,1953,"AL",4
11,"Ellis Kinder","BOS",41,0,"12%",5,69,29,3,11,0,2,0,0,0.379,0.379,0.414,0.793,10,6,1.85,1.14,69,0,27,107,84,8,38,39,1953,"AL",9
12,"Hank Bauer","NYY",37,0,"11%",4.8,133,437,77,133,10,57,2,59,0.304,0.394,0.446,0.841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",12
12,"Allie Reynolds","NYY",37,0,"11%",0.5,42,41,3,5,0,2,0,7,0.122,0.265,0.171,0.436,13,7,3.41,1.386,41,15,13,145,140,9,61,86,1953,"AL",28
14,"Mel Parnell","BOS",27,0,"8%",4.9,38,94,7,21,0,9,1,4,0.223,0.255,0.266,0.521,21,8,3.06,1.382,38,34,0,241,217,15,116,136,1953,"AL",10
15,"Harvey Kuenn","DET",23,0,"7%",1.7,155,679,94,209,2,48,6,50,0.308,0.356,0.386,0.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",25
16,"Bob Lemon","CLE",22,0,"7%",4.2,51,112,12,26,2,17,2,7,0.232,0.277,0.384,0.661,21,15,3.36,1.371,41,36,1,286.2,283,16,110,98,1953,"AL",13
17,"Eddie Lopat","NYY",18,0,"5%",3.5,26,63,5,12,0,1,0,5,0.19,0.25,0.238,0.488,16,4,2.42,1.127,25,24,0,178.1,169,13,32,50,1953,"AL",19
18,"Gus Zernial","PHA",16,0,"5%",2.3,147,556,85,158,42,108,4,57,0.284,0.355,0.559,0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",23
19,"Dave Philley","PHA",11,0,"3%",0.6,157,620,80,188,9,59,13,51,0.303,0.358,0.424,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",27
20,"Whitey Ford","NYY",8,0,"2%",3.5,33,75,10,20,0,10,0,9,0.267,0.345,0.293,0.639,18,6,3,1.435,32,30,0,207,187,13,110,110,1953,"AL",19
21,"Billy Goodman","BOS",5,0,"1%",4,128,514,73,161,2,41,1,57,0.313,0.384,0.409,0.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",16
22,"Mickey Mantle","NYY",4,0,"1%",5.3,127,461,105,136,21,92,8,79,0.295,0.398,0.497,0.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",6
23,"Gene Woodling","NYY",3,0,"1%",4.1,125,395,64,121,10,58,2,82,0.306,0.429,0.468,0.898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",14
23,"Eddie Yost","WSH",3,0,"1%",5.2,152,577,107,157,9,45,7,123,0.272,0.403,0.395,0.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",7
25,"Billy Martin","NYY",2,0,"1%",1.6,149,587,72,151,15,75,6,43,0.257,0.314,0.395,0.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",26
26,"Chico Carrasquel","CHW",1,0,"0%",4.1,149,552,72,154,2,47,5,38,0.279,0.33,0.359,0.689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",14
26,"George Kell","BOS",1,0,"0%",3.1,134,460,68,141,12,73,5,52,0.307,0.383,0.483,0.866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",21
26,"Ted Williams","BOS",1,0,"0%",2,37,91,17,37,13,34,0,19,0.407,0.509,0.901,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1953,"AL",24
1,"Yogi Berra","NYY",230,7,"68%",5.3,151,584,88,179,22,125,0,56,0.307,0.367,0.488,0.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",8
2,"Larry Doby","CLE",210,5,"62%",5.7,153,577,94,157,32,126,3,85,0.272,0.364,0.484,0.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",6
3,"Bobby Avila","CLE",203,5,"60%",7,143,555,112,189,15,67,9,59,0.341,0.402,0.477,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",3
4,"Minnie Minoso","CHW",186,2,"55%",8.2,153,568,119,182,19,116,18,77,0.32,0.411,0.535,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",1
5,"Bob Lemon","CLE",179,5,"53%",4.8,40,98,11,21,2,10,0,6,0.214,0.257,0.337,0.594,23,7,2.72,1.239,36,33,0,258.1,228,12,92,110,1954,"AL",10
6,"Early Wynn","CLE",72,0,"21%",5.4,40,93,10,17,0,4,0,7,0.183,0.24,0.215,0.455,23,11,2.73,1.138,40,36,3,270.2,225,21,83,155,1954,"AL",7
7,"Ted Williams","BOS",65,0,"19%",7.8,117,386,93,133,29,89,0,136,0.345,0.513,0.635,1.148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",2
8,"Harvey Kuenn","DET",37,0,"11%",3.3,155,656,81,201,5,48,9,29,0.306,0.335,0.39,0.725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",21
9,"Nellie Fox","CHW",30,0,"9%",5.1,155,631,111,201,2,47,16,51,0.319,0.372,0.391,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",9
9,"Mickey Vernon","WSH",30,0,"9%",3.6,151,597,90,173,20,97,1,61,0.29,0.357,0.492,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",18
11,"Bob Grim","NYY",25,0,"7%",1.9,37,70,3,10,1,9,0,2,0.143,0.167,0.186,0.352,20,6,3.26,1.307,37,20,1,199,175,9,85,108,1954,"AL",26
12,"Jim Finigan","PHA",19,0,"6%",2.6,136,487,57,147,7,51,2,64,0.302,0.381,0.421,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",23
12,"Virgil Trucks","CHW",19,0,"6%",4.6,40,93,5,17,0,8,0,1,0.183,0.188,0.204,0.392,19,12,2.79,1.205,40,33,3,264.2,224,13,95,152,1954,"AL",11
14,"Jackie Jensen","BOS",17,0,"5%",3.4,152,580,92,160,25,117,22,79,0.276,0.359,0.472,0.831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",20
15,"Mickey Mantle","NYY",16,0,"5%",6.9,146,543,129,163,27,102,5,102,0.3,0.408,0.525,0.933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",4
15,"Irv Noren","NYY",16,0,"5%",3.9,125,426,70,136,12,66,4,43,0.319,0.377,0.481,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",16
15,"Al Rosen","CLE",16,0,"5%",4.6,137,466,76,140,24,102,6,85,0.3,0.404,0.506,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",11
18,"Jim Busby","WSH",7,0,"2%",3.9,155,628,83,187,7,80,17,43,0.298,0.342,0.389,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",16
19,"Joe Coleman","BAL",6,0,"2%",2.5,33,74,4,13,2,5,1,3,0.176,0.208,0.297,0.505,13,17,3.5,1.265,33,32,0,221.1,184,16,96,103,1954,"AL",24
19,"Mike Garcia","CLE",6,0,"2%",4.5,45,81,5,11,0,4,0,6,0.136,0.193,0.136,0.329,19,8,2.64,1.125,45,34,6,258.2,220,6,71,129,1954,"AL",13
19,"Billy Goodman","BOS",6,0,"2%",2.3,127,489,71,148,1,36,3,51,0.303,0.37,0.376,0.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",25
22,"Jim Hegan","CLE",5,0,"1%",0.9,139,423,56,99,11,40,0,34,0.234,0.289,0.374,0.662,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",29
23,"Hank Bauer","NYY",4,0,"1%",3.1,114,377,73,111,12,54,4,40,0.294,0.36,0.459,0.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",22
23,"Al Kaline","DET",4,0,"1%",1.1,138,504,43,139,4,43,9,22,0.276,0.305,0.347,0.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",28
23,"Bob Turley","BAL",4,0,"1%",3.5,35,81,8,11,0,5,1,2,0.136,0.157,0.16,0.317,14,15,3.46,1.451,35,35,0,247.1,178,7,181,185,1954,"AL",19
26,"Cal Abrams","BAL",1,0,"0%",4,115,423,67,124,6,25,1,72,0.293,0.4,0.421,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",15
26,"Ray Boone","DET",1,0,"0%",4.4,148,543,75,160,20,85,4,71,0.295,0.376,0.466,0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",14
26,"Steve Gromek","DET",1,0,"0%",6.1,36,79,6,15,0,3,0,8,0.19,0.273,0.19,0.463,18,16,2.74,1.16,36,32,1,252.2,236,26,57,102,1954,"AL",5
26,"Roy Sievers","WSH",1,0,"0%",1.8,145,514,75,119,24,102,2,80,0.232,0.331,0.446,0.777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954,"AL",27
1,"Yogi Berra","NYY",218,7,"65%",4.5,147,541,84,147,27,108,1,60,0.272,0.349,0.47,0.819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",11
2,"Al Kaline","DET",201,4,"60%",8.2,152,588,121,200,27,102,6,82,0.34,0.421,0.546,0.967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",2
3,"Al Smith","CLE",200,7,"60%",4.7,154,607,123,186,22,77,11,93,0.306,0.407,0.473,0.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",10
4,"Ted Williams","BOS",143,1,"43%",6.9,98,320,77,114,28,83,2,91,0.356,0.496,0.703,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",3
5,"Mickey Mantle","NYY",113,0,"34%",9.5,147,517,121,158,37,99,8,113,0.306,0.431,0.611,1.042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",1
6,"Ray Narleski","CLE",90,1,"27%",2.6,60,24,0,7,0,5,0,0,0.292,0.292,0.292,0.583,9,1,3.71,1.281,60,1,19,111.2,91,11,52,94,1955,"AL",20
7,"Nellie Fox","CHW",84,0,"25%",5.1,154,636,100,198,6,59,7,38,0.311,0.364,0.406,0.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",9
8,"Hank Bauer","NYY",64,1,"19%",5.3,139,492,97,137,20,53,8,56,0.278,0.36,0.461,0.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",6
9,"Vic Power","KCA",53,1,"16%",3.6,147,596,91,190,19,76,0,35,0.319,0.354,0.505,0.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",14
10,"Jackie Jensen","BOS",39,0,"12%",3.3,152,574,95,158,26,116,16,89,0.275,0.369,0.479,0.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",16
11,"Sherm Lollar","CHW",37,0,"11%",3.1,138,426,67,111,16,61,2,68,0.261,0.374,0.408,0.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",17
12,"Gil McDougald","NYY",34,2,"10%",5.2,141,533,79,152,13,53,6,65,0.285,0.361,0.407,0.768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",8
13,"Billy Klaus","BOS",27,0,"8%",2.1,135,541,83,153,7,60,6,60,0.283,0.351,0.377,0.729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",23
14,"Tommy Byrne","NYY",24,0,"7%",0.9,45,78,6,16,1,6,0,8,0.205,0.273,0.282,0.555,16,5,3.15,1.4,27,22,2,160,137,12,87,76,1955,"AL",27
15,"Whitey Ford","NYY",21,0,"6%",3.9,39,86,9,14,1,7,0,11,0.163,0.258,0.198,0.455,18,7,2.63,1.187,39,33,2,253.2,188,20,113,137,1955,"AL",13
16,"Ray Boone","DET",16,0,"5%",3.5,135,500,61,142,20,116,1,50,0.284,0.346,0.476,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",15
17,"Roy Sievers","WSH",9,0,"3%",1.5,144,509,74,138,25,106,1,73,0.271,0.364,0.489,0.853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",24
18,"Harvey Kuenn","DET",8,0,"2%",3.1,145,620,101,190,8,62,8,40,0.306,0.347,0.423,0.769,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",17
18,"Billy Pierce","CHW",8,0,"2%",6.9,34,70,5,12,0,7,1,3,0.171,0.205,0.2,0.405,15,10,1.97,1.099,33,26,3,205.2,162,16,64,157,1955,"AL",3
20,"Dave Philley","TOT",6,0,"2%",1.1,126,415,65,124,8,50,1,46,0.299,0.367,0.422,0.789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1955,"AL",25
